,CIK,CONAME,FYRMO,FROM,SECFNAME,positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,complex_word_count,word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion,constraining_words_Whole_report
0,3662,SUNBEAM CORP/FL/,199803,1998-03-06,10-K405,3097,1587,0.32237503928266437,2.763135003479471,0.0,1.1052540013917884,0,63530,0,0,0.048748622697937984,0.024980324256256885,0.0,0.0,0
1,3662,SUNBEAM CORP/FL/,199805,1998-05-15,10-Q,2015,864,0.3997925943035776,3.0360224331320103,0.0,1.2144089732528043,0,42225,0,0,0.04772054470100651,0.020461811722912965,0.0,0.0,0
2,3662,SUNBEAM CORP/FL/,199808,1998-08-13,NT 10-Q,9,4,0.3846163846153846,1.502439024390244,0.0,0.6009756097560977,0,308,0,0,0.02922077922077922,0.012987012987012988,0.0,0.0,0
3,3662,SUNBEAM CORP/FL/,199811,1998-11-12,10-K/A,1277,801,0.22906741000962463,2.554893687432779,0.0,1.0219574749731117,0,30881,0,0,0.04135228781451378,0.025938279200803084,0.0,0.0,0
4,3662,SUNBEAM CORP/FL/,199811,1998-11-16,NT 10-Q,12,4,0.500001,1.7142857142857142,0.0,0.6857142857142857,0,384,0,0,0.03125,0.010416666666666666,0.0,0.0,0
5,3662,SUNBEAM CORP/FL/,199811,1998-11-25,10-Q/A,196,227,-0.07328505200945626,2.7481916817359857,0.0,1.0992766726943943,0,6079,0,0,0.0322421450896529,0.037341668037506166,0.0,0.0,0
6,3662,SUNBEAM CORP/FL/,199812,1998-12-22,10-Q,408,418,-0.012105537530266344,2.688988883006882,0.0,1.0755955532027528,0,10159,0,0,0.04016143321193031,0.041145782065163894,0.0,0.0,0
7,3662,SUNBEAM CORP/FL/,199812,1998-12-22,10-Q,195,230,-0.08235194117647059,2.795918367346939,0.0,1.1183673469387756,0,6302,0,0,0.03094255791812123,0.0364963503649635,0.0,0.0,0
8,3662,SUNBEAM CORP/FL/,199903,1999-03-31,NT 10-K,10,4,0.4285724285714285,1.6199095022624435,0.0,0.6479638009049774,0,358,0,0,0.027932960893854747,0.0111731843575419,0.0,0.0,0
9,3662,SUNBEAM CORP/FL/,199905,1999-05-11,10-K,1351,855,0.22484234179510426,2.9205904334828103,0.0,1.1682361733931241,0,31262,0,0,0.0432154052843708,0.027349497792847545,0.0,0.0,0
10,3662,SUNBEAM CORP/FL/,199905,1999-05-17,NT 10-Q,9,4,0.3846163846153846,1.6729857819905214,0.0,0.6691943127962086,0,353,0,0,0.025495750708215296,0.0113314447592068,0.0,0.0,0
11,3662,SUNBEAM CORP/FL/,199906,1999-06-11,10-Q,208,258,-0.1072951373390558,2.898522167487685,0.0,1.159408866995074,0,5884,0,0,0.03535010197144799,0.04384772263766146,0.0,0.0,0
12,3662,SUNBEAM CORP/FL/,199908,1999-08-16,NT 10-Q,8,3,0.4545464545454545,1.588235294117647,0.0,0.6352941176470588,0,324,0,0,0.024691358024691357,0.009259259259259259,0.0,0.0,0
13,3662,SUNBEAM CORP/FL/,199908,1999-08-19,10-Q,337,385,-0.0664809944598338,3.070209339774557,0.0,1.228083735909823,0,9533,0,0,0.03535088639462918,0.04038602748347844,0.0,0.0,0
14,3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-K/A,884,764,0.07281653398058252,2.665497896213184,0.0,1.0661991584852737,0,22806,0,0,0.038761729369464176,0.03349995615188985,0.0,0.0,0
15,3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,357,428,-0.09044485987261146,3.149193548387097,0.0,1.2596774193548388,0,10153,0,0,0.03516202107751404,0.04215502807052103,0.0,0.0,0
